Level,Engagement Score,Engagement Time (s),Predicted Time (s),Future Performance
Turning,90.21770840223441,46.14155246508173,79.8149614526232,Excellent
Starting Vehicle,36.56845731105835,46.613845811804225,58.35091898937209,Needs Improvement
Starting Vehicle,47.62848175741933,35.7797665807884,62.5536926766789,Needs Improvement
Turning,44.09165777385958,52.56855670515795,85.18532523255644,Needs Improvement
Stopping Vehicle,82.84714209368552,72.03764948871451,95.93200469007252,Excellent
Starting Vehicle,30.825023112508447,51.64838555061526,65.07980003979443,Needs Improvement
Turning,58.88870166571872,40.61486540911377,69.05304729629447,Needs Improvement
Navigating Turns,48.50392537650958,99.7743655141507,137.38503889251427,Needs Improvement
Starting Vehicle,100.0,34.086938511831434,48.59655844615426,Excellent
Navigating Turns,39.835216430730014,113.09693364033636,161.1767688008868,Needs Improvement
Turning,54.2584318876414,40.23717398793911,62.513855759954275,Needs Improvement
Stopping Vehicle,36.83399633338078,77.31732016975343,109.60797643790461,Needs Improvement
Stopping Vehicle,40.76391602026775,64.28052729256949,103.66283559943855,Good
Navigating Turns,56.054213127505264,88.92903262159724,123.58515998627958,Needs Improvement
Starting Vehicle,51.24613057263784,34.35216424327262,63.05515379500346,Needs Improvement
Starting Vehicle,66.29988728220192,47.50178977341761,54.744107526129035,Needs Improvement
Turning,70.07741124693084,76.76202108536414,103.06193546263461,Good
Stopping Vehicle,74.83231806181378,76.96914477796216,112.77727100052041,Needs Improvement
Navigating Turns,80.95947332888414,109.85245421823973,139.63306601661515,Excellent
Starting Vehicle,75.16362492103727,56.46992532543853,73.51453002220913,Good
Stopping Vehicle,76.62679549527599,99.76247138504148,141.3289847309259,Needs Improvement
Starting Vehicle,35.6926791431238,61.417234159303895,81.70262541479762,Needs Improvement
Turning,69.27502791617901,71.7536574222066,81.59966325861113,Needs Improvement
Turning,33.76206893084903,44.1960006728171,72.20017287934172,Needs Improvement
Turning,44.70542585346072,71.40485170191783,95.79666878903387,Needs Improvement
Stopping Vehicle,65.3793632957069,70.65140714994821,109.6532173721986,Needs Improvement
Turning,29.217438125344163,47.786870218841344,79.83630605590425,Needs Improvement
Starting Vehicle,46.59406771668846,41.496432295598176,72.79762437963308,Needs Improvement
Stopping Vehicle,45.66122611529872,68.26555419584204,104.54372271530661,Needs Improvement
Stopping Vehicle,65.02215393875655,61.45096155059157,101.13802294568336,Needs Improvement
Navigating Turns,54.69809097890386,67.87412197040139,113.88878967332643,Needs Improvement
Starting Vehicle,35.79486054915842,47.35227444854251,59.64605154384623,Needs Improvement
Turning,30.373539030574282,49.05429974208363,64.91291339101019,Needs Improvement
Stopping Vehicle,73.00674227417754,65.86575437570778,85.38516120918914,Good
Turning,78.94796284134841,42.754248591520884,72.29526197209107,Good
Turning,74.96299545455591,74.20589290985221,95.68785535774701,Good
Starting Vehicle,46.93580930232362,45.56085013947722,62.71552778221634,Needs Improvement
Navigating Turns,68.10518012326159,92.09110505244476,143.80530399756213,Good
Starting Vehicle,63.787242331498106,28.910517338150086,35.69297198758319,Needs Improvement
Starting Vehicle,73.46956335776846,58.96295090870564,81.8236890123041,Good
Starting Vehicle,89.35105323971179,41.94477638842048,73.73829187954139,Excellent
Stopping Vehicle,74.8965777068429,51.27380292604197,88.2572246496806,Good
Starting Vehicle,61.28715322002462,39.192279346322714,57.35277074370181,Needs Improvement
Turning,63.000510436885655,40.414237198497084,74.49662329993379,Needs Improvement
Stopping Vehicle,69.2031958796651,69.03787936485631,99.7876230171663,Needs Improvement
Stopping Vehicle,79.95541017783827,80.03025809992685,113.23573983021198,Good
Starting Vehicle,31.762716898583456,35.29777860459409,54.99185701878034,Needs Improvement
Navigating Turns,52.380595526971646,100.89268367949379,135.15316489027649,Needs Improvement
Stopping Vehicle,60.594522822885544,86.6074862514271,122.57326548791475,Needs Improvement
Starting Vehicle,28.01466116981402,47.31409467106095,67.47775926349331,Needs Improvement
Starting Vehicle,98.42093908080068,41.17097103833613,64.05532337170979,Excellent
Turning,76.57813607380791,58.031531223202975,86.71289325275278,Needs Improvement
Starting Vehicle,83.35304070075645,40.82523029816413,57.35794348774905,Excellent
Stopping Vehicle,73.28646688797984,57.742882951158336,85.69956266004722,Good
Stopping Vehicle,62.69475268653534,85.6070284533419,108.86397541823887,Needs Improvement
Starting Vehicle,90.5590536550724,44.39661155395829,53.08883232421318,Excellent
Stopping Vehicle,57.70104583539205,69.5566900420388,90.73972586101112,Needs Improvement
Stopping Vehicle,60.66374734110795,92.81016737928117,136.4595670608568,Needs Improvement
Stopping Vehicle,57.6871669813833,94.76937030006333,123.13552207943683,Needs Improvement
Starting Vehicle,72.79930760540913,31.906524289768846,47.73792181523352,Good
Turning,79.62181735999393,76.49796330594374,97.62681647808519,Good
Stopping Vehicle,55.34348266885273,68.64379895047813,92.41439766221039,Needs Improvement
Navigating Turns,38.25856347928481,61.49154306305306,91.78755932032522,Needs Improvement
Starting Vehicle,90.84455801312053,35.745115360256385,50.04630655581962,Good
Navigating Turns,78.84800436025824,112.9195658137999,142.7658832906916,Good
Starting Vehicle,36.24417511553178,52.54168794149814,74.48208953364248,Needs Improvement
Turning,39.10368128321118,77.96650402131206,98.81052986069581,Needs Improvement
Stopping Vehicle,68.31641067929598,96.09202098191997,123.44381565816379,Needs Improvement
Turning,38.06909213388511,62.2126265377528,85.29444619500552,Needs Improvement
Stopping Vehicle,51.678437866240195,68.17354028422801,103.87198631414184,Needs Improvement
Starting Vehicle,62.41512053765522,32.322166209918024,53.9496829209307,Needs Improvement
Navigating Turns,54.22385336842092,71.60006800003725,113.2703798909978,Needs Improvement
Navigating Turns,60.01414539185452,71.53368775353638,99.2379706945805,Needs Improvement
Turning,76.85555415903661,78.63502843971952,93.78495659431813,Good
Turning,81.52287809146856,67.73334674144111,99.0321518992774,Excellent
Stopping Vehicle,53.41534226685958,97.76747862996324,131.4643830781417,Needs Improvement
Turning,67.39930186016619,71.03179560690423,102.99752539755765,Needs Improvement
Starting Vehicle,60.69736516872743,39.152344104949,51.686148138995485,Needs Improvement
Stopping Vehicle,62.38150392555683,98.34138083890477,140.22271152085182,Needs Improvement
Starting Vehicle,66.80715736525836,44.28169838030846,71.6896347267148,Needs Improvement
Stopping Vehicle,30.259082793776283,49.63319545689007,90.83335611553417,Needs Improvement
Starting Vehicle,35.43333830813371,53.635055713494936,77.59136953274759,Needs Improvement
Turning,75.90173211202092,80.92839291525806,111.38797238913774,Good
Navigating Turns,66.29826461666393,108.54461663776293,160.07733206220138,Needs Improvement
Starting Vehicle,56.807435592268554,55.80807249321892,72.94538004574905,Needs Improvement
Starting Vehicle,34.05710752675792,53.80071609649481,63.32076478137382,Needs Improvement
Turning,39.53606788473753,49.866209372813735,74.11094790705869,Needs Improvement
Stopping Vehicle,66.97487347125725,86.65878960696286,119.5306993965537,Needs Improvement
Starting Vehicle,50.851992983808,34.68606904480461,50.354594304533464,Needs Improvement
Navigating Turns,36.24853179218367,111.38036742115999,144.5670697834628,Needs Improvement
Turning,53.71149661175371,50.596258509791646,72.94457494574412,Needs Improvement
Turning,64.19883085344306,43.234680107483065,76.55830616058073,Needs Improvement
Navigating Turns,42.01224590256611,114.84669960842541,151.46249351175683,Needs Improvement
Turning,60.33383519273885,64.70005584670376,79.82518421405253,Needs Improvement
Turning,59.87916231853629,64.27902991994826,86.78031981357387,Needs Improvement
Starting Vehicle,88.02088926747201,29.13688782881179,48.83830091873059,Excellent
Turning,62.03871582190696,77.85523254889043,102.2973178007019,Needs Improvement
Starting Vehicle,58.60497498414912,53.199023926586,75.96453217441092,Needs Improvement
Starting Vehicle,58.90839213352738,49.25473756188865,60.01987249552108,Needs Improvement
Turning,29.354991591898134,41.50575503216456,71.08620545086845,Needs Improvement
Stopping Vehicle,42.96712050267971,90.62892880681181,121.81601121647894,Needs Improvement
Turning,25.03966704752176,58.01262463128197,75.14989907182265,Needs Improvement
Starting Vehicle,34.14982087188405,64.20891911005715,93.6081447343977,Needs Improvement
Navigating Turns,43.71317451293901,112.58071655221323,155.8513271697048,Needs Improvement
Turning,41.10973719190831,44.52810156530809,61.87048990484481,Needs Improvement
Navigating Turns,79.44558143638268,94.41029345368341,122.21170544278026,Good
Starting Vehicle,49.94642640443439,37.37893269109095,56.30371343006204,Needs Improvement
Stopping Vehicle,20.534338036649153,52.95903820808913,81.25183695465942,Needs Improvement
Starting Vehicle,78.30465328236387,31.662415169860406,57.12747672363505,Needs Improvement
Stopping Vehicle,39.5169647345854,65.30549520035923,93.05706919179521,Needs Improvement
Starting Vehicle,84.31423474424183,38.53087534699096,61.88954013862563,Good
Turning,69.5672501870272,71.11618224878332,106.35056438164425,Needs Improvement
Stopping Vehicle,58.303073401501955,92.7914364744691,123.79391164140083,Needs Improvement
Starting Vehicle,59.78871870224557,44.66642671939289,59.886868502213865,Needs Improvement
Starting Vehicle,43.630463181259536,30.671434688218355,44.02882419460862,Needs Improvement
Navigating Turns,41.27426850988001,82.33181524664869,126.13175405587853,Needs Improvement
Stopping Vehicle,62.48976402469579,54.949693387257916,87.9020470426961,Needs Improvement
Turning,58.72781621005366,43.19931834547341,65.25572990708227,Needs Improvement
Turning,50.8672338887438,54.207978385603425,71.5218009250198,Needs Improvement
Starting Vehicle,82.18432262993102,57.49452210673091,79.03080917668161,Excellent
Stopping Vehicle,45.86274218566534,86.10044805786815,117.72152803839943,Needs Improvement
Stopping Vehicle,59.663406293014674,94.04435746555511,114.91469011598444,Needs Improvement
Starting Vehicle,41.860386124936404,44.66867082666231,53.80791011519765,Needs Improvement
Starting Vehicle,80.82345942806197,50.44844156239435,70.07278687349356,Excellent
Navigating Turns,46.451493264211976,123.1936136415259,168.4052513957109,Needs Improvement
Starting Vehicle,84.7237560290905,36.60414874606591,54.66408612267102,Excellent
Stopping Vehicle,58.08116690875108,64.9172423535578,91.55640646098172,Needs Improvement
Navigating Turns,51.44343635229566,69.7652309652105,111.53671569304873,Needs Improvement
Stopping Vehicle,71.97951268269769,87.7079307124546,113.17207133631342,Good
Turning,57.61059750415946,38.62340482852902,65.6492939139022,Needs Improvement
Stopping Vehicle,58.988884184775756,102.83236017670811,132.8052334360279,Needs Improvement
Starting Vehicle,52.596992371005996,32.11964389000395,40.70167795582984,Needs Improvement
Starting Vehicle,95.96933918689442,24.756091645201273,46.20809352079185,Excellent
Turning,66.7994032816595,52.937730961375,85.53272060208964,Needs Improvement
Turning,57.95541731647525,76.31424062644825,104.71425490695222,Needs Improvement
Stopping Vehicle,27.414217852762956,95.96232151469486,128.93831398621722,Needs Improvement
Starting Vehicle,70.17011023583066,64.61367154004093,76.41855103208741,Good
Stopping Vehicle,80.27868365564173,76.19061889222064,99.1436893112237,Excellent
Navigating Turns,72.79874015992095,103.6791416163459,145.2935189523674,Good
Navigating Turns,44.35364223993839,112.39143814110444,153.67741768681233,Needs Improvement
Turning,74.34472028326111,39.0379185352163,73.38941077695601,Good
Starting Vehicle,88.45740141733256,33.77152007875125,65.71878831496053,Excellent
Turning,69.9962175976729,84.65805165892252,109.68438344974166,Needs Improvement
